num_exp,problem,algo,fit
[1],F1,PSO,87530925489.27065
[1],F1,DE,134.23138631715392
[1],F1,JAYA,4565791448.9191265
[1],F1,FF,40528289272.98908
[1],F1,GWO,39070562580.52173
[1],F1,SCA,135206831.53295094
[1],F1,WO,17059608.746711403
[1],F2,PSO,55138.00980813808
[1],F2,DE,200.00000000000003
[1],F2,JAYA,41432.71687276037
[1],F2,FF,53984.58297915052
[1],F2,GWO,77327.6163462402
[1],F2,SCA,1835.1185212956168
[1],F2,WO,11051.21334849899
[1],F3,PSO,28613.73057666412
[1],F3,DE,331.81071166470514
[1],F3,JAYA,1099.542633901252
[1],F3,FF,7284.0163147020185
[1],F3,GWO,2061.2620178035068
[1],F3,SCA,375.5227925990646
[1],F3,WO,594.2267520219726
[1],F4,PSO,67663.86389428996
[1],F4,DE,594.5672056336534
[1],F4,JAYA,7565.285682156729
[1],F4,FF,47666.07516846835
[1],F4,GWO,43579.1707083832
[1],F4,SCA,1155.679044873691
[1],F4,WO,9775.700794968674
[1],F5,PSO,500.06765972438797
[1],F5,DE,500.0037648071389
[1],F5,JAYA,500.0086867895303
[1],F5,FF,500.0169868326217
[1],F5,GWO,500.01791022873516
[1],F5,SCA,500.000461509911
[1],F5,WO,500.000837658101
[1],F6,PSO,45273.532866710535
[1],F6,DE,1479.5002173261794
[1],F6,JAYA,19207.272015771632
[1],F6,FF,25345.338612717645
[1],F6,GWO,31815.153074506637
[1],F6,SCA,12391.984666313305
[1],F6,WO,9357.094638244514
[1],F7,PSO,705.4266435326522
[1],F7,DE,700.275182103251
[1],F7,JAYA,702.2134601065864
[1],F7,FF,702.1375562949621
[1],F7,GWO,701.2773282356723
[1],F7,SCA,700.3368412455433
[1],F7,WO,700.1274699021376
[1],F8,PSO,835.7329954120214
[1],F8,DE,800.0000000000001
[1],F8,JAYA,814.5938066232193
[1],F8,FF,830.8369480911269
[1],F8,GWO,818.4183040115912
[1],F8,SCA,800.9811454683004
[1],F8,WO,824.6312180089459
[1],F9,PSO,8448.49975791356
[1],F9,DE,8097.642536874415
[1],F9,JAYA,6488.169909299014
[1],F9,FF,7476.86326237441
[1],F9,GWO,6330.905394195566
[1],F9,SCA,5255.846541901716
[1],F9,WO,8184.8483551646195
[1],F10,PSO,302203.6507123973
[1],F10,DE,69768.01055395637
[1],F10,JAYA,95036.03467338828
[1],F10,FF,1687274.888915381
[1],F10,GWO,166416.33883530297
[1],F10,SCA,107422.99485504854
[1],F10,WO,28061.499367184657
[1],F11,PSO,5084578634.511261
[1],F11,DE,13086299.809614323
[1],F11,JAYA,177932887.80301088
[1],F11,FF,2737581288.82705
[1],F11,GWO,1243505883.3579676
[1],F11,SCA,7049631.516846329
[1],F11,WO,273347.33205393236
[1],F12,PSO,3443930031.1379323
[1],F12,DE,10032.855229470124
[1],F12,JAYA,39002220.33595345
[1],F12,FF,3587753607.2337475
[1],F12,GWO,1368587114.0361745
[1],F12,SCA,1413714.0275632066
[1],F12,WO,95577.33889986703
[1],F13,PSO,22629380.881024014
[1],F13,DE,95962.25742782303
[1],F13,JAYA,872100.4923246636
[1],F13,FF,448199.67502031894
[1],F13,GWO,5200728.207789903
[1],F13,SCA,174684.53509979608
[1],F13,WO,353540.96994040394
[1],F14,PSO,2668134168.9643083
[1],F14,DE,804490.5435964993
[1],F14,JAYA,8158914.311107445
[1],F14,FF,1572991924.2371716
[1],F14,GWO,535348905.49075973
[1],F14,SCA,422887.9416317825
[1],F14,WO,57879.61415490901
[1],F15,PSO,181910029.27963945
[1],F15,DE,1508.9852883314077
[1],F15,JAYA,65420.00194625605
[1],F15,FF,110462964.05957983
[1],F15,GWO,19307166.09747368
[1],F15,SCA,2230352.6968269544
[1],F15,WO,3433.8236690571794
[1],F16,PSO,2178928996.0488863
[1],F16,DE,116799.1164895505
[1],F16,JAYA,95465.24685191964
[1],F16,FF,71572738.96665815
[1],F16,GWO,105144176298.06042
[1],F16,SCA,23287.220493321453
[1],F16,WO,44168.52433163464
[1],F17,PSO,346306.5788019594
[1],F17,DE,52732.637676793776
[1],F17,JAYA,432925.29205859
[1],F17,FF,77050.13204608107
[1],F17,GWO,1255048.5016890701
[1],F17,SCA,142844.6854032487
[1],F17,WO,65963.60700177487
[1],F18,PSO,10525730620.911966
[1],F18,DE,1894.6742982618114
[1],F18,JAYA,311586491.10025734
[1],F18,FF,17318533069.244072
[1],F18,GWO,3856424713.7767224
[1],F18,SCA,458610.6951540949
[1],F18,WO,62109.76872003531
[1],F19,PSO,14296.340553574755
[1],F19,DE,2018.58199237696
[1],F19,JAYA,2999.2050735107287
[1],F19,FF,7511.4591853988795
[1],F19,GWO,6088.387427346766
[1],F19,SCA,2541.4165291592913
[1],F19,WO,10118.391711620941
[1],F20,PSO,16293.2541014289
[1],F20,DE,2100.000000000001
[1],F20,JAYA,5614.650857532139
[1],F20,FF,12543.585174224258
[1],F20,GWO,29209.77024324886
[1],F20,SCA,2580.0776778162035
[1],F20,WO,9703.871578958051
